reviewer_name,profile_url,review_text,rating,review_date,verified_purchase
Jordan P.,https://example.com/u/1001,"Battery life is way shorter than advertised, dead by lunchtime on a full charge.",2,2026-01-04,yes
Casey M.,https://example.com/u/1002,"Sound quality is genuinely great for the price, bass is punchy without being muddy.",5,2026-01-06,yes
Alex T.,https://example.com/u/1003,"The right earbud keeps disconnecting from my phone every ten minutes or so, very annoying.",2,2026-01-09,yes
Riley S.,https://example.com/u/1004,"Comfortable fit, wore them for a 3 hour flight with zero ear pain.",4,2026-01-10,no
Sam K.,https://example.com/u/1005,"Case hinge feels flimsy already after two weeks, worried it'll snap off.",3,2026-01-12,yes
Taylor B.,https://example.com/u/1006,"Great value, works perfectly with both my Android phone and my laptop.",5,2026-01-14,yes
Morgan L.,https://example.com/u/1007,"Touch controls are way too sensitive, I keep accidentally pausing my music.",2,2026-01-15,yes
Jamie R.,https://example.com/u/1008,"Battery life is way shorter than advertised, dead by lunchtime on a full charge.",2,2026-01-04,yes
Drew C.,https://example.com/u/1009,"n/a",1,2026-01-16,no
Avery N.,https://example.com/u/1010,,3,2026-01-17,no
Reese H.,https://example.com/u/1011,"Microphone quality on calls is muffled, coworkers keep asking me to repeat myself.",2,2026-01-18,yes
Quinn D.,https://example.com/u/1012,"Noise cancelling is surprisingly effective for the price point, blocks out most office chatter.",5,2026-01-19,yes
Peyton W.,https://example.com/u/1013,"Pairing process was confusing at first but works fine once set up.",4,2026-01-20,yes
Rowan F.,https://example.com/u/1014,"One earbud stopped charging entirely after about a month of daily use.",1,2026-01-22,yes
Skyler G.,https://example.com/u/1015,"Solid everyday earbuds, good for gym workouts, they don't fall out when running.",5,2026-01-23,yes
Emerson V.,https://example.com/u/1016,"Volume levels between left and right earbud are noticeably uneven.",2,2026-01-24,yes
Finley O.,https://example.com/u/1017,"App to customize equalizer settings crashes constantly on my phone.",2,2026-01-25,no
Harper Z.,https://example.com/u/1018,"Comfortable for long listening sessions, no ear fatigue even after several hours.",4,2026-01-27,yes
