reviewer_name,profile_url,review_text,rating,review_date,verified_purchase
Blake E.,https://example.com/u/2001,"Charging case doesn't fit in most jacket pockets, it's bulkier than my old pair.",3,2026-01-03,yes
Charlie I.,https://example.com/u/2002,"Excellent sound isolation on the subway, easily my favorite feature.",5,2026-01-05,yes
Dakota J.,https://example.com/u/2003,"Bluetooth range is terrible, loses connection if my phone is in another room.",2,2026-01-07,yes
Elliot K.,https://example.com/u/2004,"Setup was instant, connected to my laptop and phone within seconds.",5,2026-01-08,yes
Frankie L.,https://example.com/u/2005,"Ear tips are too large even on the smallest size, they keep slipping out.",2,2026-01-11,yes
Gray M.,https://example.com/u/2006,"Good bass response for workouts, they stay in place during running.",4,2026-01-13,no
Hayden N.,https://example.com/u/2007,"Customer support was unhelpful when one bud stopped working after three weeks.",1,2026-01-14,yes
Indigo O.,https://example.com/u/2008,"Charging case doesn't fit in most jacket pockets, it's bulkier than my old pair.",3,2026-01-03,yes
Jules P.,https://example.com/u/2009,"ok",4,2026-01-16,no
Kit Q.,https://example.com/u/2010,,2,2026-01-17,no
Lane R.,https://example.com/u/2011,"Call quality is crisp and clear, people say I sound like I'm on a landline.",5,2026-01-18,yes
Marlowe S.,https://example.com/u/2012,"Battery indicator in the app is inaccurate, shows 40% then dies immediately.",2,2026-01-19,yes
Noel T.,https://example.com/u/2013,"Firmware update bricked one earbud, had to contact support for a replacement.",1,2026-01-21,yes
Onyx U.,https://example.com/u/2014,"Nice compact case, fits easily in a small bag or pocket.",4,2026-01-22,yes
Parker V.,https://example.com/u/2015,"Touch controls are intuitive once you learn the gestures, no complaints.",5,2026-01-23,yes
Quincy W.,https://example.com/u/2016,"Static noise in the left earbud whenever I'm near my microwave or router.",2,2026-01-25,yes
Remy X.,https://example.com/u/2017,"Great for the price, sound quality rivals earbuds twice the cost.",5,2026-01-26,yes
Sage Y.,https://example.com/u/2018,"Ear tips are too large even on the smallest size, they keep slipping out during exercise.",2,2026-01-28,yes
